Date/Time,CDEII_gCO2_per_kWh,CDEII_kgCO2_per_kWh
01/01/2024 0:00,905.7942176,0.9057942
01/01/2024 1:00,977.153454,0.9771535
01/01/2024 2:00,1022.039242,1.0220392
01/01/2024 3:00,1047.364364,1.0473644
01/01/2024 4:00,1067.552372,1.0675524
01/01/2024 5:00,1083.575837,1.0835758
01/01/2024 6:00,1027.684596,1.0276846
01/01/2024 7:00,924.7375867,0.9247376
01/01/2024 8:00,750.0600665,0.7500601
01/01/2024 9:00,648.4439711,0.648444
01/01/2024 10:00,661.3996234,0.6613996
01/01/2024 11:00,748.7196906,0.7487197
01/01/2024 12:00,755.2343541,0.7552344
01/01/2024 13:00,746.6512074,0.7466512
01/01/2024 14:00,742.6284037,0.7426284
01/01/2024 15:00,684.5038109,0.6845038
01/01/2024 16:00,688.1668883,0.6881669
01/01/2024 17:00,670.8112367,0.6708112
01/01/2024 18:00,758.131331,0.7581313
01/01/2024 19:00,787.1246654,0.7871247
01/01/2024 20:00,781.6936494,0.7816936
01/01/2024 21:00,809.1114084,0.8091114
01/01/2024 22:00,830.3317836,0.8303318
01/01/2024 23:00,853.6369161,0.8536369
02/01/2024 0:00,899.9571186,0.8999571
02/01/2024 1:00,924.8209542,0.924821
02/01/2024 2:00,939.9347032,0.9399347
02/01/2024 3:00,941.2295126,0.9412295
02/01/2024 4:00,933.5005652,0.9335006
02/01/2024 5:00,936.244978,0.936245
02/01/2024 6:00,929.6252118,0.9296252
02/01/2024 7:00,889.6735025,0.8896735
02/01/2024 8:00,836.6922091,0.8366922
02/01/2024 9:00,743.8280472,0.743828
02/01/2024 10:00,680.3204161,0.6803204
02/01/2024 11:00,617.8215227,0.6178215
02/01/2024 12:00,599.4084113,0.5994084
02/01/2024 13:00,526.9272536,0.5269273
02/01/2024 14:00,544.3441385,0.5443441
02/01/2024 15:00,633.5993176,0.6335993
02/01/2024 16:00,655.246491,0.6552465
02/01/2024 17:00,647.4372468,0.6474372
02/01/2024 18:00,633.41718,0.6334172
02/01/2024 19:00,619.9151796,0.6199152
02/01/2024 20:00,699.9851339,0.6999851
02/01/2024 21:00,768.9663424,0.7689663
02/01/2024 22:00,797.8972801,0.7978973
02/01/2024 23:00,834.591224,0.8345912
03/01/2024 0:00,924.6952751,0.9246953
03/01/2024 1:00,955.5032179,0.9555032
03/01/2024 2:00,961.95796,0.961958
03/01/2024 3:00,977.988886,0.9779889
03/01/2024 4:00,993.229509,0.9932295
03/01/2024 5:00,991.5987263,0.9915987
03/01/2024 6:00,970.3540335,0.970354
03/01/2024 7:00,933.3205602,0.9333206
03/01/2024 8:00,868.3748048,0.8683748
03/01/2024 9:00,838.3017869,0.8383018
03/01/2024 10:00,834.1509427,0.8341509
03/01/2024 11:00,839.0371927,0.8390372
03/01/2024 12:00,825.5691603,0.8255692
03/01/2024 13:00,816.1969237,0.8161969
03/01/2024 14:00,815.9195305,0.8159195
03/01/2024 15:00,823.9131298,0.8239131
03/01/2024 16:00,837.2072903,0.8372073
03/01/2024 17:00,774.6559553,0.774656
03/01/2024 18:00,722.726026,0.722726
03/01/2024 19:00,765.1484857,0.7651485
03/01/2024 20:00,797.0843977,0.7970844
03/01/2024 21:00,809.6519471,0.8096519
03/01/2024 22:00,810.837111,0.8108371
03/01/2024 23:00,822.2362749,0.8222363
04/01/2024 0:00,884.7740965,0.8847741
04/01/2024 1:00,861.4333711,0.8614334
04/01/2024 2:00,881.4272379,0.8814272
04/01/2024 3:00,864.5198578,0.8645199
04/01/2024 4:00,870.8698081,0.8708698
04/01/2024 5:00,876.1069604,0.876107
04/01/2024 6:00,864.1678599,0.8641679
04/01/2024 7:00,846.1234262,0.8461234
04/01/2024 8:00,846.5631503,0.8465632
04/01/2024 9:00,817.0454049,0.8170454
04/01/2024 10:00,772.0740358,0.772074
04/01/2024 11:00,722.5166825,0.7225167
04/01/2024 12:00,685.8181882,0.6858182
04/01/2024 13:00,629.0634213,0.6290634
04/01/2024 14:00,605.7248678,0.6057249
04/01/2024 15:00,635.204666,0.6352047
04/01/2024 16:00,673.8709333,0.6738709
04/01/2024 17:00,709.3390339,0.709339
04/01/2024 18:00,699.0587659,0.6990588
04/01/2024 19:00,674.9569282,0.6749569
04/01/2024 20:00,686.5803894,0.6865804
04/01/2024 21:00,735.0466075,0.7350466
04/01/2024 22:00,803.8541398,0.8038541
04/01/2024 23:00,853.7083411,0.8537083
05/01/2024 0:00,845.6163036,0.8456163
05/01/2024 1:00,866.01274,0.8660127
05/01/2024 2:00,874.7807655,0.8747808
05/01/2024 3:00,888.4898719,0.8884899
05/01/2024 4:00,872.3787841,0.8723788
05/01/2024 5:00,853.2833255,0.8532833
05/01/2024 6:00,876.6413554,0.8766414
05/01/2024 7:00,853.1917787,0.8531918
05/01/2024 8:00,768.1289849,0.768129
05/01/2024 9:00,689.2864934,0.6892865
05/01/2024 10:00,649.0570314,0.649057
05/01/2024 11:00,641.3971847,0.6413972
05/01/2024 12:00,630.6423685,0.6306424
05/01/2024 13:00,625.0819275,0.6250819
05/01/2024 14:00,602.8868438,0.6028868
05/01/2024 15:00,615.2085889,0.6152086
05/01/2024 16:00,638.0862138,0.6380862
05/01/2024 17:00,626.5705995,0.6265706
05/01/2024 18:00,664.2802138,0.6642802
05/01/2024 19:00,667.4998545,0.6674999
05/01/2024 20:00,696.3603388,0.6963603
05/01/2024 21:00,712.3488057,0.7123488
05/01/2024 22:00,768.2199255,0.7682199
05/01/2024 23:00,818.8557682,0.8188558
06/01/2024 0:00,846.7437026,0.8467437
06/01/2024 1:00,860.6326548,0.8606327
06/01/2024 2:00,866.8753659,0.8668754
06/01/2024 3:00,886.5703148,0.8865703
06/01/2024 4:00,894.832374,0.8948324
06/01/2024 5:00,909.6462373,0.9096462
06/01/2024 6:00,867.628202,0.8676282
06/01/2024 7:00,763.0351094,0.7630351
06/01/2024 8:00,682.086687,0.6820867
06/01/2024 9:00,636.1620346,0.636162
06/01/2024 10:00,605.9228084,0.6059228
06/01/2024 11:00,601.5768451,0.6015768
06/01/2024 12:00,601.3895828,0.6013896
06/01/2024 13:00,649.346931,0.6493469
06/01/2024 14:00,713.1847449,0.7131847
06/01/2024 15:00,762.6072616,0.7626073
06/01/2024 16:00,820.4738484,0.8204738
06/01/2024 17:00,822.7059548,0.822706
06/01/2024 18:00,808.7185901,0.8087186
06/01/2024 19:00,839.3547254,0.8393547
06/01/2024 20:00,882.0163097,0.8820163
06/01/2024 21:00,950.9941035,0.9509941
06/01/2024 22:00,1020.12964,1.0201296
06/01/2024 23:00,1072.207393,1.0722074
07/01/2024 0:00,1051.588466,1.0515885
07/01/2024 1:00,1018.269459,1.0182695
07/01/2024 2:00,1006.601108,1.0066011
07/01/2024 3:00,1005.514498,1.0055145
07/01/2024 4:00,991.7641128,0.9917641
07/01/2024 5:00,959.6638914,0.9596639
07/01/2024 6:00,933.8406739,0.9338407
07/01/2024 7:00,912.0342082,0.9120342
07/01/2024 8:00,889.1835034,0.8891835
07/01/2024 9:00,845.3952784,0.8453953
