Date/Time,Total_Demand_kWh,Aircon_kWh,Plugs_kWh,Lighting_kWh,Other_kWh
1/01/2024 0:00,0.1838,0.050126,0.117281,0.013094,0.003299
1/01/2024 1:00,0.1515,0.03915,0.098804,0.010627,0.00292
1/01/2024 2:00,0.1514,0.038671,0.098789,0.010836,0.003105
1/01/2024 3:00,0.1848,0.045602,0.121652,0.013512,0.004035
1/01/2024 4:00,0.1472,0.032702,0.09987,0.011142,0.003486
1/01/2024 5:00,0.1471,0.029337,0.101404,0.012697,0.003663
1/01/2024 6:00,0.2443,0.045729,0.16495,0.027524,0.006097
1/01/2024 7:00,0.4838,0.104519,0.323977,0.043452,0.011852
1/01/2024 8:00,0.544,0.132596,0.354149,0.040891,0.016365
1/01/2024 9:00,0.7038,0.208902,0.426032,0.042062,0.026803
1/01/2024 10:00,0.3329,0.119743,0.183299,0.017205,0.012653
1/01/2024 11:00,0.2411,0.100123,0.119762,0.011184,0.01003
1/01/2024 12:00,0.2505,0.115893,0.115178,0.009753,0.009676
1/01/2024 13:00,0.2849,0.141928,0.123817,0.010099,0.009056
1/01/2024 14:00,0.2045,0.110268,0.081533,0.00647,0.006229
1/01/2024 15:00,0.2505,0.145552,0.092117,0.007547,0.005284
1/01/2024 16:00,0.1922,0.11295,0.067354,0.005518,0.006379
1/01/2024 17:00,0.1901,0.107402,0.064286,0.005776,0.012636
1/01/2024 18:00,0.9296,0.490899,0.337825,0.031438,0.069438
1/01/2024 19:00,0.3087,0.146994,0.130779,0.015167,0.01576
1/01/2024 20:00,0.9891,0.398372,0.486766,0.076842,0.027119
1/01/2024 21:00,1.5099,0.543283,0.802438,0.143132,0.021047
1/01/2024 22:00,0.764,0.257927,0.425908,0.070271,0.009893
1/01/2024 23:00,0.3941,0.118207,0.23787,0.031736,0.006288
2/01/2024 0:00,0.3296,0.089889,0.210314,0.023481,0.005916
2/01/2024 1:00,0.4546,0.117475,0.296476,0.031888,0.008761
2/01/2024 2:00,0.3995,0.10204,0.260674,0.028592,0.008194
2/01/2024 3:00,0.3359,0.082888,0.221119,0.024559,0.007334
2/01/2024 4:00,0.362,0.080423,0.245603,0.027402,0.008572
2/01/2024 5:00,0.4035,0.080473,0.278153,0.034828,0.010046
2/01/2024 6:00,0.3015,0.056436,0.203571,0.033969,0.007525
2/01/2024 7:00,0.2266,0.048954,0.151743,0.020352,0.005551
2/01/2024 8:00,0.1265,0.030833,0.082353,0.009509,0.003805
2/01/2024 9:00,0.0983,0.029177,0.059504,0.005875,0.003744
2/01/2024 10:00,0.0858,0.030862,0.047243,0.004434,0.003261
2/01/2024 11:00,0.1173,0.048712,0.058267,0.005441,0.00488
2/01/2024 12:00,0.1737,0.080362,0.079866,0.006763,0.00671
2/01/2024 13:00,0.1965,0.09789,0.085399,0.006966,0.006246
2/01/2024 14:00,0.2694,0.145263,0.107408,0.008523,0.008206
2/01/2024 15:00,0.0145,0.008425,0.005332,0.000437,0.000306
2/01/2024 16:00,0.018,0.010578,0.006308,0.000517,0.000597
2/01/2024 17:00,0.018,0.01017,0.006087,0.000547,0.001196
